area_id,name,description,created_at,updated_at
18,"Kolkata Riverside Industrial Area","Industrial zone near river for transport and shipping.","2025-10-12 11:25:00","2025-10-12 11:25:00"
19,"Kolkata University Campus","Educational area with colleges and hostels.","2025-10-12 11:30:00","2025-10-12 11:30:00"
20,"Kolkata Airport Vicinity","Logistics and transport near airport.","2025-10-12 11:35:00","2025-10-12 11:35:00"
21,"Delhi Connaught Place","Commercial and business hub of Delhi.","2025-10-12 11:40:00","2025-10-12 11:40:00"
22,"Delhi Dwarka Residential Area","Residential neighborhood with schools and markets.","2025-10-12 11:45:00","2025-10-12 11:45:00"
23,"Delhi Rohini Industrial Area","Industrial factories and warehouses.","2025-10-12 11:50:00","2025-10-12 11:50:00"
24,"Delhi South Extension","Commercial and shopping hub.","2025-10-12 11:55:00","2025-10-12 11:55:00"
25,"Delhi IT Park","Technology companies and software offices.","2025-10-12 12:00:00","2025-10-12 12:00:00"
26,"Delhi Green Belt","Eco-friendly and recreational area.","2025-10-12 12:05:00","2025-10-12 12:05:00"
27,"Delhi Old Fort Zone","Historic region with monuments and museums.","2025-10-12 12:10:00","2025-10-12 12:10:00"
28,"Delhi Airport Zone","Logistics and transport near IGI Airport.","2025-10-12 12:15:00","2025-10-12 12:15:00"
29,"Delhi University Enclave","Educational area with colleges and hostels.","2025-10-12 12:20:00","2025-10-12 12:20:00"
30,"Delhi North Market Zone","Traditional market area.","2025-10-12 12:25:00","2025-10-12 12:25:00"
31,"Mumbai Bandra Commercial Hub","Shopping, offices, and entertainment area.","2025-10-12 12:30:00","2025-10-12 12:30:00"
32,"Mumbai Andheri Industrial Area","Factories and warehouses in Andheri.","2025-10-12 12:35:00","2025-10-12 12:35:00"
33,"Mumbai South Residential Area","Housing complexes and schools.","2025-10-12 12:40:00","2025-10-12 12:40:00"
34,"Mumbai Juhu Beach Area","Coastal area with tourism and leisure activities.","2025-10-12 12:45:00","2025-10-12 12:45:00"
35,"Mumbai IT Park","Technology and software company area.","2025-10-12 12:50:00","2025-10-12 12:50:00"
36,"Mumbai Greenfield Zone","Newly developed residential and commercial area.","2025-10-12 12:55:00","2025-10-12 12:55:00"
37,"Mumbai Old Town","Historic and cultural heritage region.","2025-10-12 13:00:00","2025-10-12 13:00:00"
38,"Mumbai Harbor Side","Port and shipping zone.","2025-10-12 13:05:00","2025-10-12 13:05:00"
39,"Mumbai University Campus","Educational hub with colleges and hostels.","2025-10-12 13:10:00","2025-10-12 13:10:00"
40,"Mumbai Airport Vicinity","Region surrounding airport with logistics.","2025-10-12 13:15:00","2025-10-12 13:15:00"
41,"Bangalore Whitefield IT Park","IT and tech-focused area with offices.","2025-10-12 13:20:00","2025-10-12 13:20:00"
42,"Bangalore Electronic City","Technology hub with software companies.","2025-10-12 13:25:00","2025-10-12 13:25:00"
43,"Bangalore South Residential Area","Housing and apartment complexes.","2025-10-12 13:30:00","2025-10-12 13:30:00"
44,"Bangalore North Industrial Zone","Factories and industrial units.","2025-10-12 13:35:00","2025-10-12 13:35:00"
45,"Bangalore Green Belt","Eco-friendly and recreational area.","2025-10-12 13:40:00","2025-10-12 13:40:00"
46,"Bangalore Old Town","Historic city center with heritage buildings.","2025-10-12 13:45:00","2025-10-12 13:45:00"
47,"Bangalore University Campus","Educational area with colleges and hostels.","2025-10-12 13:50:00","2025-10-12 13:50:00"
48,"Bangalore Airport Zone","Logistics and transport near airport.","2025-10-12 13:55:00","2025-10-12 13:55:00"
49,"Bangalore Commercial Street","Shopping and business hub.","2025-10-12 14:00:00","2025-10-12 14:00:00"
50,"Bangalore Riverside","Riverfront recreational and leisure zone.","2025-10-12 14:05:00","2025-10-12 14:05:00"
51,Chennai,"Coastal city in Tamil Nadu","2025-10-12 23:52:06","2025-10-12 23:52:06"
52,Kolkata,"Eastern metropolis in West Bengal","2025-10-12 23:52:06","2025-10-12 23:52:06"
53,Mumbai,"Financial capital of India","2025-10-12 23:52:06","2025-10-12 23:52:06"
54,Delhi,"Capital territory of India","2025-10-12 23:52:06","2025-10-12 23:52:06"
55,Bengaluru,"IT hub of Karnataka","2025-10-12 23:52:06","2025-10-12 23:52:06"
56,Hyderabad,"City of pearls in Telangana","2025-10-12 23:52:06","2025-10-12 23:52:06"
57,Pune,"Cultural and educational hub in Maharashtra","2025-10-12 23:52:06","2025-10-12 23:52:06"
58,Ahmedabad,"Largest city in Gujarat","2025-10-12 23:52:06","2025-10-12 23:52:06"
59,Jaipur,"Pink City of Rajasthan","2025-10-12 23:52:06","2025-10-12 23:52:06"
60,Lucknow,"Capital city of Uttar Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
61,Kochi,"Port city in Kerala","2025-10-12 23:52:06","2025-10-12 23:52:06"
62,Visakhapatnam,"Industrial port city in Andhra Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
63,Surat,"Diamond and textile hub in Gujarat","2025-10-12 23:52:06","2025-10-12 23:52:06"
64,Indore,"Commercial capital of Madhya Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
65,Nagpur,"Orange city of Maharashtra","2025-10-12 23:52:06","2025-10-12 23:52:06"
66,Coimbatore,"Textile and engineering hub in Tamil Nadu","2025-10-12 23:52:06","2025-10-12 23:52:06"
67,Thiruvananthapuram,"Capital of Kerala","2025-10-12 23:52:06","2025-10-12 23:52:06"
68,Bhopal,"City of lakes in Madhya Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
69,Chandigarh,"Planned city and union territory","2025-10-12 23:52:06","2025-10-12 23:52:06"
70,Patna,"Capital of Bihar","2025-10-12 23:52:06","2025-10-12 23:52:06"
71,Varanasi,"Spiritual city on the Ganges","2025-10-12 23:52:06","2025-10-12 23:52:06"
72,Amritsar,"City of Golden Temple in Punjab","2025-10-12 23:52:06","2025-10-12 23:52:06"
73,Raipur,"Capital of Chhattisgarh","2025-10-12 23:52:06","2025-10-12 23:52:06"
74,Ranchi,"Capital of Jharkhand","2025-10-12 23:52:06","2025-10-12 23:52:06"
75,Dehradun,"Capital of Uttarakhand","2025-10-12 23:52:06","2025-10-12 23:52:06"
76,Guwahati,"Largest city in Assam","2025-10-12 23:52:06","2025-10-12 23:52:06"
77,Jodhpur,"Blue city of Rajasthan","2025-10-12 23:52:06","2025-10-12 23:52:06"
78,Udaipur,"City of lakes in Rajasthan","2025-10-12 23:52:06","2025-10-12 23:52:06"
79,Mysuru,"Cultural city in Karnataka","2025-10-12 23:52:06","2025-10-12 23:52:06"
80,Aurangabad,"Historical city in Maharashtra","2025-10-12 23:52:06","2025-10-12 23:52:06"
81,Agra,"City of the Taj Mahal in Uttar Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
82,Jabalpur,"City of marble rocks in Madhya Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
83,Bhavnagar,"Coastal city in Gujarat","2025-10-12 23:52:06","2025-10-12 23:52:06"
84,Kolhapur,"Historical city in Maharashtra","2025-10-12 23:52:06","2025-10-12 23:52:06"
85,Tiruchirappalli,"Central city in Tamil Nadu","2025-10-12 23:52:06","2025-10-12 23:52:06"
86,Vijayawada,"City in Andhra Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
87,Solapur,"Textile city in Maharashtra","2025-10-12 23:52:06","2025-10-12 23:52:06"
88,Hubli,"Twin city with Dharwad in Karnataka","2025-10-12 23:52:06","2025-10-12 23:52:06"
89,Belgaum,"Border city in Karnataka","2025-10-12 23:52:06","2025-10-12 23:52:06"
90,Rajkot,"Industrial city in Gujarat","2025-10-12 23:52:06","2025-10-12 23:52:06"
91,Gwalior,"Historical city in Madhya Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
92,Shillong,"Capital of Meghalaya","2025-10-12 23:52:06","2025-10-12 23:52:06"
93,Imphal,"Capital of Manipur","2025-10-12 23:52:06","2025-10-12 23:52:06"
94,Kohima,"Capital of Nagaland","2025-10-12 23:52:06","2025-10-12 23:52:06"
95,Itanagar,"Capital of Arunachal Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
96,Gangtok,"Capital of Sikkim","2025-10-12 23:52:06","2025-10-12 23:52:06"
97,Shimla,"Capital of Himachal Pradesh","2025-10-12 23:52:06","2025-10-12 23:52:06"
98,Panaji,"Capital of Goa","2025-10-12 23:52:06","2025-10-12 23:52:06"
99,Pondicherry,"Union territory with French influence","2025-10-12 23:52:06","2025-10-12 23:52:06"
100,Raigarh,"Industrial city in Chhattisgarh","2025-10-12 23:52:06","2025-10-12 23:52:06"
101,Chennai,"Coastal city in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
102,Kolkata,"Eastern metropolis in West Bengal","2025-10-12 23:53:30","2025-10-12 23:53:30"
103,Mumbai,"Financial capital of India","2025-10-12 23:53:30","2025-10-12 23:53:30"
104,Delhi,"Capital territory of India","2025-10-12 23:53:30","2025-10-12 23:53:30"
105,Bengaluru,"IT hub of Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
106,Hyderabad,"City of pearls in Telangana","2025-10-12 23:53:30","2025-10-12 23:53:30"
107,Pune,"Cultural and educational hub in Maharashtra","2025-10-12 23:53:30","2025-10-12 23:53:30"
108,Ahmedabad,"Largest city in Gujarat","2025-10-12 23:53:30","2025-10-12 23:53:30"
109,Jaipur,"Pink City of Rajasthan","2025-10-12 23:53:30","2025-10-12 23:53:30"
110,Lucknow,"Capital city of Uttar Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
111,Kochi,"Port city in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
112,Visakhapatnam,"Industrial port city in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
113,Surat,"Diamond and textile hub in Gujarat","2025-10-12 23:53:30","2025-10-12 23:53:30"
114,Indore,"Commercial capital of Madhya Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
115,Nagpur,"Orange city of Maharashtra","2025-10-12 23:53:30","2025-10-12 23:53:30"
116,Coimbatore,"Textile and engineering hub in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
117,Thiruvananthapuram,"Capital of Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
118,Bhopal,"City of lakes in Madhya Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
119,Chandigarh,"Planned city and union territory","2025-10-12 23:53:30","2025-10-12 23:53:30"
120,Patna,"Capital of Bihar","2025-10-12 23:53:30","2025-10-12 23:53:30"
121,Varanasi,"Spiritual city on the Ganges","2025-10-12 23:53:30","2025-10-12 23:53:30"
122,Amritsar,"City of Golden Temple in Punjab","2025-10-12 23:53:30","2025-10-12 23:53:30"
123,Raipur,"Capital of Chhattisgarh","2025-10-12 23:53:30","2025-10-12 23:53:30"
124,Ranchi,"Capital of Jharkhand","2025-10-12 23:53:30","2025-10-12 23:53:30"
125,Dehradun,"Capital of Uttarakhand","2025-10-12 23:53:30","2025-10-12 23:53:30"
126,Guwahati,"Largest city in Assam","2025-10-12 23:53:30","2025-10-12 23:53:30"
127,Jodhpur,"Blue city of Rajasthan","2025-10-12 23:53:30","2025-10-12 23:53:30"
128,Udaipur,"City of lakes in Rajasthan","2025-10-12 23:53:30","2025-10-12 23:53:30"
129,Mysuru,"Cultural city in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
130,Aurangabad,"Historical city in Maharashtra","2025-10-12 23:53:30","2025-10-12 23:53:30"
131,Agra,"City of the Taj Mahal in Uttar Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
132,Jabalpur,"City of marble rocks in Madhya Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
133,Bhavnagar,"Coastal city in Gujarat","2025-10-12 23:53:30","2025-10-12 23:53:30"
134,Kolhapur,"Historical city in Maharashtra","2025-10-12 23:53:30","2025-10-12 23:53:30"
135,Tiruchirappalli,"Central city in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
136,Vijayawada,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
137,Solapur,"Textile city in Maharashtra","2025-10-12 23:53:30","2025-10-12 23:53:30"
138,Hubli,"Twin city with Dharwad in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
139,Belgaum,"Border city in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
140,Rajkot,"Industrial city in Gujarat","2025-10-12 23:53:30","2025-10-12 23:53:30"
141,Gwalior,"Historical city in Madhya Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
142,Shillong,"Capital of Meghalaya","2025-10-12 23:53:30","2025-10-12 23:53:30"
143,Imphal,"Capital of Manipur","2025-10-12 23:53:30","2025-10-12 23:53:30"
144,Kohima,"Capital of Nagaland","2025-10-12 23:53:30","2025-10-12 23:53:30"
145,Itanagar,"Capital of Arunachal Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
146,Gangtok,"Capital of Sikkim","2025-10-12 23:53:30","2025-10-12 23:53:30"
147,Shimla,"Capital of Himachal Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
148,Panaji,"Capital of Goa","2025-10-12 23:53:30","2025-10-12 23:53:30"
149,Pondicherry,"Union territory with French influence","2025-10-12 23:53:30","2025-10-12 23:53:30"
150,Raigarh,"Industrial city in Chhattisgarh","2025-10-12 23:53:30","2025-10-12 23:53:30"
151,Tirupati,"Temple city in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
152,Mangalore,"Coastal city in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
153,Dharwad,"Twin city with Hubli in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
154,Kurnool,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
155,Jamshedpur,"Industrial city in Jharkhand","2025-10-12 23:53:30","2025-10-12 23:53:30"
156,Rourkela,"Steel city in Odisha","2025-10-12 23:53:30","2025-10-12 23:53:30"
157,Bhubaneswar,"Capital of Odisha","2025-10-12 23:53:30","2025-10-12 23:53:30"
158,Cuttack,"Historical city in Odisha","2025-10-12 23:53:30","2025-10-12 23:53:30"
159,Srinagar,"Summer capital of Jammu & Kashmir","2025-10-12 23:53:30","2025-10-12 23:53:30"
160,Jammu,"Winter capital of Jammu & Kashmir","2025-10-12 23:53:30","2025-10-12 23:53:30"
161,Leh,"Tourist town in Ladakh","2025-10-12 23:53:30","2025-10-12 23:53:30"
162,Kargil,"Town in Ladakh","2025-10-12 23:53:30","2025-10-12 23:53:30"
163,"Nagaland Town","Miscellaneous city in Nagaland","2025-10-12 23:53:30","2025-10-12 23:53:30"
164,Dimapur,"Largest city in Nagaland","2025-10-12 23:53:30","2025-10-12 23:53:30"
165,"Mizoram City","City in Mizoram","2025-10-12 23:53:30","2025-10-12 23:53:30"
166,Aizawl,"Capital of Mizoram","2025-10-12 23:53:30","2025-10-12 23:53:30"
167,"Kohima East","Area in Kohima","2025-10-12 23:53:30","2025-10-12 23:53:30"
168,"Shillong East","Area in Shillong","2025-10-12 23:53:30","2025-10-12 23:53:30"
169,"Gangtok East","Area in Gangtok","2025-10-12 23:53:30","2025-10-12 23:53:30"
170,"Shimla East","Area in Shimla","2025-10-12 23:53:30","2025-10-12 23:53:30"
171,"Panaji East","Area in Panaji","2025-10-12 23:53:30","2025-10-12 23:53:30"
172,"Pondicherry East","Area in Pondicherry","2025-10-12 23:53:30","2025-10-12 23:53:30"
173,"Raigarh East","Area in Raigarh","2025-10-12 23:53:30","2025-10-12 23:53:30"
174,Vellore,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
175,Salem,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
176,Tirunelveli,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
177,Erode,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
178,Nellore,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
179,Eluru,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
180,Tadepalligudem,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
181,Guntur,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
182,Tenali,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
183,Chittoor,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
184,Kadapa,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
185,Kakinada,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
186,Rajahmundry,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
187,Vizianagaram,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
188,Anantapur,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
189,Nandyal,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
190,Srikakulam,"City in Andhra Pradesh","2025-10-12 23:53:30","2025-10-12 23:53:30"
191,Bellary,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
192,Bidar,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
193,Raichur,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
194,Shimoga,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
195,Davangere,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
196,Hassan,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
197,Mandya,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
198,"Mysore East","Area in Mysore","2025-10-12 23:53:30","2025-10-12 23:53:30"
199,Udupi,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
200,Bagalkot,"City in Karnataka","2025-10-12 23:53:30","2025-10-12 23:53:30"
201,"Dharwad East","Area in Dharwad","2025-10-12 23:53:30","2025-10-12 23:53:30"
202,Kozhikode,"City in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
203,Thrissur,"City in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
204,Alappuzha,"City in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
205,Palakkad,"City in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
206,Kannur,"City in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
207,Kollam,"City in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
208,Malappuram,"City in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
209,Wayanad,"District in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
210,Idukki,"District in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
211,Ernakulam,"District in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
212,Pathanamthitta,"District in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
213,Kottayam,"District in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
214,Thiruvalla,"Town in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
215,Varkala,"Town in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
216,Punalur,"Town in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
217,Kayamkulam,"Town in Kerala","2025-10-12 23:53:30","2025-10-12 23:53:30"
218,Nagercoil,"Town in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
219,Kanyakumari,"Southernmost tip of India","2025-10-12 23:53:30","2025-10-12 23:53:30"
220,Rameshwaram,"Island city in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
221,Dhanushkodi,"Town in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
222,Tanjore,"Historical city in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
223,Nagapattinam,"Coastal city in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
224,Pudukkottai,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
225,Karur,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
226,Namakkal,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
227,"Erode East","Area in Erode","2025-10-12 23:53:30","2025-10-12 23:53:30"
228,"Salem East","Area in Salem","2025-10-12 23:53:30","2025-10-12 23:53:30"
229,"Vellore East","Area in Vellore","2025-10-12 23:53:30","2025-10-12 23:53:30"
230,Tiruvannamalai,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
231,Villupuram,"City in Tamil Nadu","2025-10-12 23:53:30","2025-10-12 23:53:30"
232,Chennai,"Capital city of Tamil Nadu, major urban area.","2025-10-13 00:10:20","2025-10-13 00:10:20"
233,Mumbai,"Financial capital of India, densely populated.","2025-10-13 00:10:20","2025-10-13 00:10:20"
234,Delhi,"National capital, known for historical monuments.","2025-10-13 00:10:20","2025-10-13 00:10:20"
235,Kolkata,"Cultural hub in eastern India, major port city.","2025-10-13 00:10:20","2025-10-13 00:10:20"
236,Bangalore,"IT hub, cosmopolitan city in Karnataka.","2025-10-13 00:10:20","2025-10-13 00:10:20"
237,Hyderabad,"Historic city with IT and industrial presence.","2025-10-13 00:10:20","2025-10-13 00:10:20"
238,Pune,"Educational and industrial hub in Maharashtra.","2025-10-13 00:10:20","2025-10-13 00:10:20"
239,Ahmedabad,"Largest city in Gujarat, known for textile industry.","2025-10-13 00:10:20","2025-10-13 00:10:20"
240,Jaipur,"Pink city of India, popular tourist destination.","2025-10-13 00:10:20","2025-10-13 00:10:20"
241,Lucknow,"Capital of Uttar Pradesh, rich in culture and heritage.","2025-10-13 00:10:20","2025-10-13 00:10:20"
242,Kanpur,"Industrial city in Uttar Pradesh, major leather industry.","2025-10-13 00:10:20","2025-10-13 00:10:20"
243,Nagpur,"Orange city, major commercial center in Maharashtra.","2025-10-13 00:10:20","2025-10-13 00:10:20"
244,Indore,"Largest city in Madhya Pradesh, commercial hub.","2025-10-13 00:10:20","2025-10-13 00:10:20"
245,Bhopal,"Capital of Madhya Pradesh, known for lakes and greenery.","2025-10-13 00:10:20","2025-10-13 00:10:20"
246,Patna,"Capital of Bihar, historically significant city.","2025-10-13 00:10:20","2025-10-13 00:10:20"
247,Surat,"Major diamond and textile industry center in Gujarat.","2025-10-13 00:10:20","2025-10-13 00:10:20"
248,Vadodara,"Cultural and industrial city in Gujarat.","2025-10-13 00:10:20","2025-10-13 00:10:20"
249,Thane,"City near Mumbai, heavily urbanized region.","2025-10-13 00:10:20","2025-10-13 00:10:20"
250,Nashik,"Wine capital of India, also religiously significant.","2025-10-13 00:10:20","2025-10-13 00:10:20"
251,Gurgaon,"Modern city near Delhi, major IT and business hub.","2025-10-13 00:10:20","2025-10-13 00:10:20"
252,Noida,"Planned city near Delhi, IT and industrial zones.","2025-10-13 00:10:20","2025-10-13 00:10:20"
253,Faridabad,"Industrial city in Haryana, near Delhi NCR.","2025-10-13 00:10:20","2025-10-13 00:10:20"
254,Ghaziabad,"Industrial and residential city in NCR.","2025-10-13 00:10:20","2025-10-13 00:10:20"
255,Agra,"City of Taj Mahal, tourism and historical significance.","2025-10-13 00:10:20","2025-10-13 00:10:20"
256,Varanasi,"Ancient city, religious and cultural center.","2025-10-13 00:10:20","2025-10-13 00:10:20"
257,Amritsar,"City in Punjab, home to Golden Temple.","2025-10-13 00:10:20","2025-10-13 00:10:20"
258,Ludhiana,"Industrial hub of Punjab, known for textiles.","2025-10-13 00:10:20","2025-10-13 00:10:20"
259,Jalandhar,"City in Punjab, sports goods industry hub.","2025-10-13 00:10:20","2025-10-13 00:10:20"
260,Patiala,"Historical city in Punjab with rich heritage.","2025-10-13 00:10:20","2025-10-13 00:10:20"
261,Chandigarh,"Union Territory, capital of Punjab and Haryana.","2025-10-13 00:10:20","2025-10-13 00:10:20"
262,Dehradun,"Capital of Uttarakhand, surrounded by hills.","2025-10-13 00:10:20","2025-10-13 00:10:20"
263,Rishikesh,"Yoga and spiritual center in Uttarakhand.","2025-10-13 00:10:20","2025-10-13 00:10:20"
264,Haridwar,"Sacred city along the Ganges river.","2025-10-13 00:10:20","2025-10-13 00:10:20"
265,Shimla,"Hill station, capital of Himachal Pradesh.","2025-10-13 00:10:20","2025-10-13 00:10:20"
266,Manali,"Popular hill station in Himachal Pradesh.","2025-10-13 00:10:20","2025-10-13 00:10:20"
267,Dharamshala,"Himachal Pradesh city, home to Dalai Lama.","2025-10-13 00:10:20","2025-10-13 00:10:20"
268,Srinagar,"Summer capital of Jammu & Kashmir, famous for lakes.","2025-10-13 00:10:20","2025-10-13 00:10:20"
269,Jammu,"Winter capital of Jammu & Kashmir.","2025-10-13 00:10:20","2025-10-13 00:10:20"
270,Leh,"High-altitude town in Ladakh, tourism hub.","2025-10-13 00:10:20","2025-10-13 00:10:20"
271,Kochi,"Port city in Kerala, commercial hub.","2025-10-13 00:10:20","2025-10-13 00:10:20"
272,Thiruvananthapuram,"Capital of Kerala, IT and administrative hub.","2025-10-13 00:10:20","2025-10-13 00:10:20"
273,Kozhikode,"Coastal city in Kerala, historical trade center.","2025-10-13 00:10:20","2025-10-13 00:10:20"
274,Mangalore,"Port city in Karnataka, coastal region.","2025-10-13 00:10:20","2025-10-13 00:10:20"
275,Belgaum,"Industrial and agricultural city in Karnataka.","2025-10-13 00:10:20","2025-10-13 00:10:20"
276,Mysore,"Historical city in Karnataka, tourism and culture.","2025-10-13 00:10:20","2025-10-13 00:10:20"
277,Hubli,"Commercial hub in Karnataka.","2025-10-13 00:10:20","2025-10-13 00:10:20"
